
"Exclusion Zone 1 "

"Point","Azimuth (deg)","Elevation (deg)"
"Inclusion Zone 36 (Inside Exclusion Zone 5)"

"Point","Azimuth (deg)","Elevation (deg)"
1,88.147,17.080
2,88.610,17.084
3,88.610,16.660
4,88.147,16.656
5,88.147,17.080

"Exclusion Zone 6 "

"Point","Azimuth (deg)","Elevation (deg)"
1,-136.000,35.516
2,-136.000,-35.729
3,-135.775,-35.839
4,-44.000,-35.729
5,-44.000,-35.516
6,-44.000,-13.281
7,-44.225,-13.333
8,-44.679,-13.437
9,-44.679,-13.128
10,-44.909,-13.180
11,-45.375,-13.283
12,-45.375,-12.970
13,-45.611,-13.021
14,-45.849,-13.072
15,-45.849,-12.756
16,-45.611,-12.706
17,-45.611,-12.390
18,-45.611,-11.439
19,-45.375,-11.394
20,-45.375,-11.711
21,-45.141,-11.665
22,-44.000,-11.437
23,-44.000,-11.128
24,-44.000,35.729
25,-44.225,35.839
26,-136.000,35.729
27,-136.000,35.516

"Inclusion Zone 37 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-88.147,16.656
2,-88.610,16.660
3,-89.073,16.662
4,-89.073,17.087
5,-88.610,17.084
6,-88.147,17.080
7,-88.147,16.656

"Inclusion Zone 38 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-54.552,10.455
2,-54.861,10.494
3,-54.861,10.128
4,-55.172,10.165
5,-55.801,10.241
6,-55.801,10.612
7,-55.485,10.573
8,-55.172,10.534
9,-55.172,10.901
10,-54.861,10.861
11,-54.552,10.820
12,-54.552,10.455

"Inclusion Zone 39 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-56.763,9.602
2,-57.089,9.637
3,-57.089,10.014
4,-56.763,9.978
5,-56.763,9.602

"Inclusion Zone 40 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-56.120,8.781
2,-56.120,8.405
3,-56.440,8.436
4,-56.440,8.058
5,-56.763,8.088
6,-59.435,8.323
7,-59.435,8.713
8,-59.092,8.682
9,-58.415,8.621
10,-58.415,9.007
11,-58.080,8.975
12,-57.417,8.911
13,-57.417,9.291
14,-57.089,9.258
15,-56.120,9.157
16,-56.120,8.781

"Inclusion Zone 41 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-59.780,7.959
2,-59.435,7.931
3,-58.752,7.876
4,-58.752,7.487
5,-58.415,7.460
6,-57.747,7.407
7,-57.747,7.021
8,-57.417,6.995
9,-56.120,6.893
10,-56.120,6.514
11,-56.120,2.692
12,-56.440,2.702
13,-56.440,2.316
14,-56.763,2.325
15,-57.089,2.334
16,-57.089,2.722
17,-57.417,2.732
18,-57.417,2.342
19,-57.747,2.351
20,-57.747,2.742
21,-58.080,2.752
22,-58.415,2.762
23,-58.415,2.368
24,-58.752,2.376
25,-58.752,2.772
26,-59.092,2.782
27,-59.092,2.385
28,-59.435,2.393
29,-59.780,2.402
30,-59.780,2.801
31,-60.127,2.811
32,-60.127,2.410
33,-60.477,2.419
34,-60.829,2.427
35,-60.829,2.831
36,-61.184,2.841
37,-61.184,2.435
38,-61.541,2.444
39,-61.900,2.452
40,-61.900,2.860
41,-62.262,2.869
42,-62.262,2.460
43,-62.626,2.468
44,-62.993,2.476
45,-62.993,2.888
46,-63.362,2.898
47,-63.362,2.484
48,-63.734,2.492
49,-63.734,2.907
50,-63.734,7.031
51,-63.362,7.008
52,-62.993,6.986
53,-62.993,7.392
54,-62.626,7.368
55,-62.262,7.344
56,-62.262,7.747
57,-61.900,7.722
58,-61.541,7.696
59,-61.541,8.096
60,-61.184,8.069
61,-60.829,8.042
62,-60.829,8.438
63,-60.477,8.409
64,-59.780,8.352
65,-59.780,7.959

"Inclusion Zone 42 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-66.401,5.084
2,-66.401,4.662
3,-66.013,4.648
4,-66.013,4.227
5,-66.013,2.539
6,-66.401,2.547
7,-66.401,2.971
8,-66.792,2.979
9,-66.792,2.554
10,-66.792,1.704
11,-67.184,1.709
12,-67.184,2.135
13,-67.184,2.562
14,-67.579,2.569
15,-67.976,2.576
16,-67.976,2.148
17,-67.976,1.718
18,-68.376,1.723
19,-68.376,2.154
20,-68.376,2.584
21,-68.778,2.591
22,-69.182,2.598
23,-69.182,2.165
24,-69.182,1.733
25,-69.588,1.737
26,-69.588,2.171
27,-69.588,3.038
28,-69.996,3.046
29,-69.996,2.612
30,-70.406,2.618
31,-70.406,2.182
32,-70.406,1.746
33,-70.819,1.751
34,-70.819,2.188
35,-70.819,3.498
36,-70.406,3.489
37,-69.996,3.480
38,-69.996,3.914
39,-69.588,3.904
40,-69.182,3.893
41,-69.182,4.324
42,-68.778,4.313
43,-68.376,4.301
44,-68.376,4.729
45,-67.976,4.716
46,-67.579,4.703
47,-67.579,5.128
48,-67.184,5.113
49,-66.792,5.099
50,-66.792,5.521
51,-66.401,5.505
52,-66.401,5.084

"Inclusion Zone 43 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-72.489,2.209
2,-72.911,2.214
3,-72.911,2.656
4,-72.489,2.650
5,-72.489,2.209

"Inclusion Zone 44 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-71.650,1.759
2,-72.068,1.763
3,-72.068,2.204
4,-72.068,3.084
5,-71.650,3.077
6,-71.233,3.069
7,-71.233,2.631
8,-71.233,2.193
9,-71.650,2.199
10,-71.650,1.759

"Inclusion Zone 45 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-69.182,0.433
2,-69.182,0.000
3,-68.778,0.000
4,-67.184,0.000
5,-67.184,0.427
6,-66.792,0.426
7,-66.792,0.000
8,-66.401,0.000
9,-66.401,0.425
10,-66.013,0.423
11,-66.013,0.000
12,-66.013,-2.962
13,-66.401,-2.971
14,-66.401,-2.547
15,-66.792,-2.554
16,-67.579,-2.569
17,-67.579,-2.141
18,-67.976,-2.148
19,-68.376,-2.154
20,-68.376,-1.723
21,-68.778,-1.728
22,-69.182,-1.733
23,-69.182,-1.300
24,-69.588,-1.303
25,-69.996,-1.306
26,-69.996,-0.871
27,-70.406,-0.873
28,-70.819,-0.876
29,-70.819,-0.438
30,-71.233,-0.439
31,-71.650,-0.440
32,-71.650,0.000
33,-71.650,0.440
34,-71.233,0.439
35,-71.233,0.000
36,-70.819,0.000
37,-70.819,0.438
38,-70.406,0.437
39,-69.996,0.436
40,-69.996,0.000
41,-69.588,0.000
42,-69.588,0.434
43,-69.588,0.869
44,-69.182,0.866
45,-69.182,0.433

"Inclusion Zone 46 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-63.362,0.000
2,-62.993,0.000
3,-62.993,0.413
4,-62.626,0.412
5,-62.262,0.410
6,-62.262,0.000
7,-61.900,0.000
8,-61.900,0.409
9,-61.541,0.408
10,-61.541,0.000
11,-61.184,0.000
12,-59.780,0.000
13,-59.780,0.401
14,-59.435,0.399
15,-59.435,0.000
16,-59.092,0.000
17,-58.752,0.000
18,-58.752,0.396
19,-58.415,0.395
20,-58.415,0.000
21,-58.080,0.000
22,-56.763,0.000
23,-56.763,0.388
24,-56.440,0.386
25,-56.440,0.000
26,-56.120,0.000
27,-56.120,-0.385
28,-56.120,-7.651
29,-55.801,-7.622
30,-55.801,-7.999
31,-56.120,-8.028
32,-56.440,-8.058
33,-56.440,-7.679
34,-56.763,-7.707
35,-57.089,-7.735
36,-57.089,-7.353
37,-57.417,-7.380
38,-57.747,-7.407
39,-57.747,-7.021
40,-58.080,-7.046
41,-58.415,-7.071
42,-58.415,-6.682
43,-58.752,-6.706
44,-59.092,-6.730
45,-59.092,-6.337
46,-59.435,-6.360
47,-59.780,-6.382
